E3 Binder SMILES,E3 Binder ID
Cc1ncsc1-c1ccc(CNC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,110
CNC(C)C(=O)NC(C(=O)N1CC(N)CC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,40
Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(NC(=O)C2(F)CC2)C(C)(C)C)cc1,41
Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1,42
CNC(C)C(=O)NC(C(=O)N1CCCC1C(=O)NC1CCCc2ccccc21)C1CCCCC1,43
COC(=O)C(CC(C)C)NC(=O)C(O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,44
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(C(C)C)cc1)C(C)(C)C,46
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)C,49
CC(NC(=O)C1CC(O)CN1C(=O)C(N)C(C)(C)C)c1ccc(C2CC2)cc1,50
CNC(=O)CC(NC(=O)C1CC(O)CN1C(=O)C(c1cc(C)no1)C(C)C)c1ccc(C#N)cc1,88
Cc1nc(C)c(-c2ccc(-c3c[nH]c(C4CC(O)CN4C(=O)C(N)C(C)(C)C)n3)cc2)s1,53
CNC(C)C(=O)NC(C(=O)N1CCCC1c1nc(C(=O)c2ccc(F)cc2)cs1)C1CCN(C)CC1,55
COc1cc(C(CC(=O)O)c2ccc(C)c(CN(C)S(=O)(=O)c3ccccc3)c2)cc2nnn(C)c12,59
CNC(=O)C(CC(C)C)NC(=O)CCCc1ccccc1,60
CC(=O)NC(C(=O)N1CC(O)CC1C(=O)NC(C)c1ccc(Cl)cc1)C(C)(C)C,61
Cc1ncsc1-c1ccc(C(C)NC(=O)C2CC(O)CN2C(=O)C(N)C(C)(C)C)cc1.Cl,62
